7,13461,2,20131010
13,21169,2,20011215
17,11016,2,20060528
29,1193,2,20160524
33,3619,1,20130813
33,5172,2,20110702
36,2532,1,20160217
45,219,2,20051127
45,2145,2,20000428
45,8776,2,20160206
45,12260,1,20081228
45,4395,2,20090918
45,5227,1,20020630
45,5,1,20201208
48,19736,1,20120520
48,12126,2,20070409
48,664,1,20181219
56,2768,1,20080814
56,10813,1,20040823
81,4418,2,20080920
103,3297,1,20090111
107,13157,1,20021031
108,8,1,20061229
108,9438,2,20190502
108,3159,1,20121031
108,13827,1,20191210
111,4643,2,20001215
111,15585,2,20191201
111,1723,2,20050423
111,7337,2,20001215
111,7664,2,20110423
111,3425,2,20030522
117,6756,2,20110415
118,8231,1,20130813
123,13158,1,20060327
123,11358,2,20091231
123,16190,1,20080306
123,13962,2,20211220
123,12078,1,20101025
123,18975,2,20170730
123,15889,1,20060517
123,226,1,20070628
123,8633,1,20140323
123,1378,2,20221010
123,3191,1,20230407
123,11116,1,20230925
123,7843,2,20170917
123,17916,1,20170524
123,6921,2,20170404
123,21780,1,20230219
123,7064,2,20111216
123,17724,2,20160102
123,2195,2,20070913
123,10180,2,20140222
123,17122,2,20190416
123,9289,1,20200403
123,1848,1,20151021
123,545,1,20080625
123,8638,2,20230529
123,7344,2,20090911
123,10634,1,20160808
123,8746,2,20161108
123,923,2,20191008
123,5205,2,20101028
123,8562,1,20180707
123,9994,2,20040613
123,14236,1,20080918
123,18756,1,20150523
123,15015,1,20050927
123,18397,2,20061120
123,7527,1,20200324
123,12535,2,20200207
123,3792,2,20041028
123,7452,1,20021021
123,4959,2,20190312
123,3015,1,20050927
123,13393,1,20060524
123,15264,1,20020110
123,516,1,20031024
123,14616,1,20071222
123,4961,2,20220307
123,1248,1,20130507
123,9297,2,20150603
123,16155,2,20160825
123,233,1,20121023
123,619,1,20150708
123,22260,2,20210314
123,17206,1,20061002
123,17059,2,20070411
123,11993,1,20101228
123,10598,2,20150504
123,21083,1,20160413
123,18234,2,20050119
123,1525,2,20190519
123,16623,2,20130319
123,4963,1,20010427
123,2458,1,20040616
123,16911,1,20210308
123,5883,2,20190105
123,12605,1,20211105
123,18739,2,20021107
123,19380,2,20120405
123,15805,2,20050205
123,4117,1,20170701
123,10941,2,20061225
123,550,1,20130302
123,2566,2,20071210
123,10399,2,20100417
